episode,reward
0,0.216
500,0.298
1000,-0.24
1500,-0.18
2000,0.37
2500,-0.126
3000,0.43
3500,-0.156
4000,0.034
4500,-0.35
5000,-0.148
5500,-0.184
6000,-0.004
6500,0.17
7000,-0.268
7500,-0.154
8000,0.132
8500,-0.47
9000,0.036
9500,-0.166
10000,0.21
10500,-0.29
11000,-0.016
11500,0.168
12000,0.12
12500,0.312
13000,-0.05
13500,-0.136
14000,0.26
14500,-0.248
15000,-0.074
15500,0.034
16000,0.034
16500,-0.308
17000,-0.27
17500,0.284
18000,-0.068
18500,-0.08
19000,-0.04
19500,0.112
20000,0.174
20500,-0.684
21000,0.138
21500,0.162
22000,0.51
22500,-0.11
23000,-0.11
23500,0.056
24000,0.078
24500,-0.17
25000,0.0
25500,0.254
26000,0.03
26500,0.384
27000,-0.004
27500,-0.3
28000,0.1
28500,-0.322
29000,-0.106
29500,-0.166
30000,-0.348
30500,0.13
31000,-0.108
31500,0.11
32000,0.348
32500,0.312
33000,0.002
33500,0.232
34000,0.516
34500,0.06
35000,0.344
35500,-0.02
36000,0.5
36500,-0.136
37000,0.11
37500,0.674
38000,0.182
38500,-0.098
39000,0.44
39500,0.09
40000,-0.038
40500,0.118
41000,-0.052
41500,-0.134
42000,-0.35
42500,0.07
43000,0.3
43500,-0.002
44000,0.25
44500,0.12
45000,0.15
45500,-0.534
46000,-0.128
46500,0.238
47000,-0.342
47500,0.054
48000,-0.256
48500,0.054
49000,-0.322
49500,0.184
50000,0.006
50500,-0.076
51000,0.048
51500,-0.036
52000,-0.172
52500,0.284
53000,0.12
53500,-0.058
54000,0.082
54500,-0.006
55000,0.014
55500,0.168
56000,0.088
56500,-0.082
57000,0.37
57500,-0.076
58000,0.12
58500,0.006
59000,-0.282
59500,0.14
60000,-0.318
60500,-0.334
61000,-0.632
61500,0.032
62000,-0.534
62500,0.07
63000,-0.212
63500,0.014
64000,0.342
64500,-0.436
65000,-0.058
65500,0.312
66000,0.338
66500,0.024
67000,0.532
67500,-0.622
68000,0.196
68500,-0.048
69000,-0.29
69500,-0.314
70000,-0.36
70500,0.036
71000,-0.146
71500,0.314
72000,-0.14
72500,0.174
73000,-0.414
73500,0.308
74000,-0.154
74500,0.046
75000,-0.404
75500,-0.12
76000,-0.098
76500,0.12
77000,-0.252
77500,-0.174
78000,0.086
78500,-0.298
79000,-0.11
79500,-0.326
80000,-0.122
80500,0.15
81000,0.36
81500,0.198
82000,-0.084
82500,0.124
83000,-0.43
83500,0.022
84000,0.23
84500,0.216
85000,-0.368
85500,-0.232
86000,0.062
86500,0.296
87000,-0.02
87500,0.012
88000,0.344
88500,0.25
89000,0.026
89500,-0.134
90000,-0.02
90500,-0.334
91000,-0.094
91500,0.38
92000,0.178
92500,0.312
93000,0.174
93500,-0.028
94000,0.466
94500,-0.398
95000,-0.408
95500,-0.288
96000,-0.142
96500,0.12
97000,0.18
97500,-0.28
98000,0.046
98500,0.174
99000,0.146
99500,0.044
