episode,reward
0,1.888
500,1.718
1000,4.002
1500,-2.026
2000,3.294
2500,1.726
3000,0.602
3500,2.09
4000,-2.41
4500,1.53
5000,1.796
5500,-3.286
6000,3.496
6500,-0.076
7000,-2.168
7500,0.43
8000,1.638
8500,3.956
9000,-0.764
9500,-4.04
10000,3.418
10500,1.448
11000,0.374
11500,3.748
12000,2.296
12500,3.902
13000,6.916
13500,-3.732
14000,2.224
14500,6.406
15000,7.726
15500,4.27
16000,3.622
16500,6.41
17000,0.99
17500,2.488
18000,5.62
18500,3.296
19000,-0.614
19500,3.068
20000,-0.012
20500,3.632
21000,1.648
21500,1.676
22000,5.606
22500,3.716
23000,3.638
23500,4.124
24000,3.258
24500,6.264
25000,9.362
25500,8.348
26000,6.252
26500,-5.618
27000,6.458
27500,3.272
28000,6.69
28500,3.136
29000,3.058
29500,7.528
30000,2.338
30500,7.922
31000,3.024
31500,9.174
32000,12.622
32500,2.696
33000,2.442
33500,9.13
34000,5.402
34500,2.562
35000,0.848
35500,6.258
36000,8.774
36500,1.614
37000,1.522
37500,5.546
38000,7.998
38500,3.896
39000,2.502
39500,7.264
40000,8.614
40500,8.506
41000,8.042
41500,5.73
42000,8.458
42500,0.852
43000,3.724
43500,10.446
44000,0.134
44500,2.636
45000,0.406
45500,8.712
46000,-0.192
46500,4.882
47000,2.972
47500,6.008
48000,4.022
48500,5.334
49000,6.38
49500,2.192
50000,5.378
50500,8.768
51000,3.62
51500,5.828
52000,10.682
52500,6.184
53000,8.242
53500,8.148
54000,8.33
54500,-4.882
55000,1.188
55500,10.65
56000,3.104
56500,5.492
57000,6.894
57500,1.19
58000,4.316
58500,3.862
59000,2.9
59500,-4.12
60000,4.818
60500,6.014
61000,5.568
61500,7.528
62000,5.244
62500,2.794
63000,-0.048
63500,7.39
64000,6.604
64500,5.91
65000,5.338
65500,-1.378
66000,4.666
66500,3.45
67000,7.292
67500,0.338
68000,-2.824
68500,0.086
69000,4.842
69500,5.47
70000,1.834
70500,-3.18
71000,-3.06
71500,4.822
72000,2.61
72500,-0.878
73000,4.85
73500,-1.068
74000,-2.644
74500,3.536
75000,-1.556
75500,0.672
76000,-0.298
76500,3.344
77000,-3.7
77500,-1.77
78000,3.356
78500,1.53
79000,1.66
79500,1.4
80000,3.078
80500,-1.964
81000,-1.002
81500,0.066
82000,1.3
82500,-5.428
83000,-3.506
83500,0.064
84000,0.184
84500,4.924
85000,-2.83
85500,-1.86
86000,4.2
86500,-1.392
87000,-0.612
87500,7.82
88000,-1.306
88500,0.958
89000,-2.35
89500,-2.186
90000,5.368
90500,-1.14
91000,4.652
91500,0.622
92000,-0.924
92500,0.722
93000,-1.232
93500,1.462
94000,2.434
94500,1.744
95000,-2.938
95500,1.23
96000,2.204
96500,-0.476
97000,4.024
97500,-2.268
98000,-2.474
98500,0.826
99000,1.56
99500,-0.972
