episode,reward
0,-0.14
500,2.364
1000,0.84
1500,3.542
2000,-5.932
2500,5.856
3000,-0.544
3500,0.65
4000,-0.392
4500,1.278
5000,2.228
5500,4.354
6000,-1.878
6500,-3.648
7000,3.21
7500,3.322
8000,0.202
8500,-4.328
9000,2.114
9500,4.702
10000,6.268
10500,-0.682
11000,3.82
11500,3.67
12000,1.566
12500,4.7
13000,3.898
13500,2.672
14000,2.676
14500,3.536
15000,2.35
15500,0.618
16000,6.792
16500,-1.05
17000,5.168
17500,3.316
18000,8.468
18500,5.498
19000,4.174
19500,3.058
20000,7.242
20500,1.644
21000,1.908
21500,6.938
22000,2.246
22500,6.512
23000,0.44
23500,3.524
24000,4.2
24500,-2.002
25000,0.422
25500,5.146
26000,6.864
26500,8.288
27000,3.618
27500,1.75
28000,4.486
28500,7.136
29000,5.742
29500,3.476
30000,2.148
30500,5.042
31000,4.928
31500,3.632
32000,7.778
32500,2.624
33000,2.564
33500,3.032
34000,5.218
34500,4.428
35000,5.814
35500,5.47
36000,5.39
36500,6.83
37000,3.244
37500,6.252
38000,5.11
38500,4.15
39000,7.998
39500,6.354
40000,7.62
40500,5.984
41000,6.946
41500,3.122
42000,3.904
42500,8.812
43000,8.108
43500,1.464
44000,3.932
44500,4.038
45000,7.426
45500,1.824
46000,5.658
46500,3.232
47000,3.85
47500,6.622
48000,8.958
48500,3.956
49000,4.586
49500,5.77
50000,4.24
50500,4.82
51000,4.264
51500,4.776
52000,0.71
52500,1.66
53000,2.746
53500,8.818
54000,5.112
54500,7.33
55000,5.49
55500,2.954
56000,1.592
56500,1.336
57000,7.476
57500,7.806
58000,4.078
58500,1.114
59000,6.152
59500,6.604
60000,9.034
60500,3.2
61000,5.052
61500,5.98
62000,2.23
62500,4.678
63000,5.838
63500,5.35
64000,4.138
64500,-1.528
