episode,reward
0,2.689
5000,1.4915
10000,2.557
15000,2.034
20000,2.6865
25000,1.996
30000,3.154
35000,3.325
40000,2.9635
45000,3.0615
50000,2.7905
55000,3.615
60000,1.505
65000,3.5245
70000,4.044
75000,2.977
80000,3.21
85000,3.1725
90000,4.6605
95000,2.7965
100000,1.433
105000,1.72
110000,3.6685
115000,1.261
120000,3.1005
125000,1.956
130000,3.939
135000,5.1785
140000,4.921
145000,3.681
150000,4.5055
155000,4.171
160000,4.6225
165000,2.2745
170000,4.015
175000,4.565
180000,3.2745
185000,3.245
190000,4.155
195000,4.7905
200000,1.856
205000,3.781
210000,4.7855
215000,4.0575
220000,3.352
225000,3.639
230000,2.696
235000,2.326
240000,4.221
245000,4.2285
250000,2.667
255000,4.6075
260000,6.6355
265000,2.506
270000,2.664
275000,4.732
280000,4.4905
285000,1.637
290000,3.6365
295000,3.9515
300000,4.047
305000,2.749
310000,1.6665
315000,5.51
320000,7.0035
325000,3.334
330000,4.122
335000,4.609
340000,3.744
345000,1.7155
350000,2.7565
355000,3.4985
360000,3.929
365000,2.7065
370000,1.3625
375000,5.459
380000,2.4245
385000,4.762
390000,3.2115
395000,4.606
400000,2.2135
405000,5.2735
410000,1.6705
415000,3.4215
420000,4.5335
425000,3.09
430000,4.662
435000,4.717
440000,4.456
445000,3.203
450000,3.921
455000,3.41
460000,2.9405
465000,3.0885
470000,2.2585
475000,5.852
480000,4.5615
485000,0.927
490000,3.5635
495000,3.1735
