episode,reward
0,-6.012
500,5.826
1000,-0.318
1500,0.162
2000,-0.292
2500,4.33
3000,0.834
3500,7.43
4000,-2.356
4500,1.954
5000,-4.3
5500,-0.762
6000,-0.906
6500,-0.154
7000,-0.498
7500,-2.832
8000,2.03
8500,-3.784
9000,-4.828
9500,-3.468
10000,0.892
10500,-4.526
11000,-4.574
11500,-5.132
12000,0.72
12500,3.686
13000,-7.332
13500,-1.908
14000,7.902
14500,-0.646
15000,1.852
15500,0.468
16000,1.508
16500,-0.88
17000,-2.194
17500,-8.202
18000,-3.806
18500,-5.824
19000,1.04
19500,-10.486
20000,1.224
20500,3.622
21000,2.72
21500,1.164
22000,-10.182
22500,-3.206
23000,-0.38
23500,-3.31
24000,-8.784
24500,-2.892
25000,-8.908
25500,-3.26
26000,-0.422
26500,-0.634
27000,-2.248
27500,0.75
28000,-0.248
28500,-4.568
29000,-4.436
29500,-6.302
30000,1.588
30500,-0.3
31000,-8.952
31500,-1.958
32000,-3.372
32500,-5.02
33000,-5.066
33500,-1.032
34000,-4.97
34500,2.166
35000,-3.99
35500,-6.256
36000,-7.844
36500,-5.284
37000,-3.664
37500,-1.516
38000,-5.776
38500,-2.614
39000,-3.548
39500,-6.402
40000,-1.254
40500,-1.682
41000,-0.66
41500,3.12
42000,-3.728
42500,-3.518
43000,-1.766
43500,-0.956
44000,-2.164
44500,2.098
45000,-5.454
45500,-2.472
46000,-4.868
46500,-1.45
47000,-7.03
47500,-3.302
48000,-3.104
48500,-1.976
49000,-2.252
49500,0.638
50000,-1.728
50500,-1.026
51000,-8.93
51500,-5.17
52000,-3.798
52500,-1.928
53000,-4.998
53500,2.672
54000,-3.946
54500,-6.29
55000,-1.214
55500,0.166
56000,-1.67
56500,2.118
57000,-3.156
57500,-3.778
58000,-0.168
58500,-2.486
59000,-0.268
59500,-7.65
60000,-6.992
60500,-6.104
61000,-5.992
61500,-7.588
62000,-3.674
62500,-4.314
63000,-2.532
63500,-1.114
64000,-5.898
64500,-6.39
65000,-4.418
65500,-0.614
66000,2.21
66500,0.51
67000,-10.644
67500,-6.856
68000,-0.986
68500,-0.938
69000,-6.774
69500,-9.578
70000,-6.104
70500,-4.608
71000,-3.31
71500,-10.178
72000,-7.046
72500,-5.78
73000,-9.348
73500,-8.578
74000,-8.054
74500,-3.742
75000,0.494
75500,-13.056
76000,-1.476
76500,-4.47
77000,-0.996
77500,-5.268
78000,-6.202
78500,2.638
79000,-2.554
79500,-1.738
80000,-7.03
80500,-7.36
81000,-5.66
81500,-4.024
82000,-7.464
82500,-5.568
83000,-7.174
83500,-2.768
84000,-2.87
84500,-9.318
85000,-6.262
85500,-3.272
86000,-1.66
86500,1.044
87000,-3.15
87500,-6.926
88000,-4.702
88500,0.706
89000,-1.132
89500,-5.198
90000,-0.88
90500,-0.634
91000,-4.94
91500,-1.564
92000,1.432
92500,-1.686
93000,-0.134
93500,0.58
94000,3.626
94500,1.28
95000,0.666
95500,1.958
96000,-0.132
96500,3.522
97000,-3.748
97500,3.328
98000,-2.284
98500,2.332
99000,-0.576
99500,0.606
100000,0.414
100500,-4.108
101000,4.502
101500,2.822
102000,3.304
102500,-2.814
103000,-0.258
103500,1.476
104000,-5.014
104500,-2.588
105000,3.896
105500,-3.478
106000,-0.148
106500,0.318
107000,1.21
107500,-2.544
108000,-2.108
108500,2.068
109000,1.038
109500,-4.63
110000,3.736
110500,-3.302
111000,-1.06
111500,1.344
112000,2.694
112500,-0.878
113000,0.5
113500,-4.498
114000,2.586
114500,0.92
115000,-3.966
115500,-5.242
116000,2.156
116500,0.11
117000,2.962
117500,-1.482
118000,-1.186
118500,-2.552
119000,1.23
119500,1.038
120000,-6.96
120500,-0.392
121000,-4.584
121500,2.064
122000,-2.866
122500,0.332
123000,1.232
123500,2.848
124000,-4.232
124500,-3.386
125000,2.102
125500,-0.812
126000,-1.786
126500,0.722
127000,-2.38
127500,2.532
128000,-0.808
128500,-0.708
129000,5.188
129500,-1.82
