episode,reward
0,-4.188
500,1.106
1000,-2.28
1500,8.334
2000,-2.374
2500,6.58
3000,3.078
3500,1.032
4000,3.842
4500,6.21
5000,-0.458
5500,1.046
6000,1.432
6500,2.322
7000,0.434
7500,4.46
8000,4.53
8500,4.406
9000,4.718
9500,1.668
10000,2.528
10500,-0.002
11000,4.636
11500,4.756
12000,4.36
12500,1.292
13000,3.074
13500,4.722
14000,-1.364
14500,1.522
15000,4.52
15500,3.352
16000,8.032
16500,5.03
17000,-0.808
17500,1.936
18000,0.864
18500,5.0
19000,0.22
19500,2.724
20000,4.202
20500,4.972
21000,3.518
21500,6.36
22000,4.83
22500,2.21
23000,-0.152
23500,3.684
24000,4.308
24500,3.536
25000,6.94
25500,4.5
26000,1.536
26500,-0.336
27000,1.478
27500,1.806
28000,-0.086
28500,5.658
29000,8.782
29500,2.742
30000,4.064
30500,1.504
31000,4.918
31500,7.402
32000,4.528
32500,1.18
33000,2.642
33500,4.05
34000,3.286
34500,9.436
35000,-0.732
35500,2.736
36000,1.836
36500,4.434
37000,2.828
37500,2.09
38000,3.756
38500,4.298
39000,2.698
39500,3.082
40000,1.818
40500,6.318
41000,5.288
41500,2.506
42000,0.422
42500,5.246
43000,5.822
43500,6.586
44000,7.442
44500,3.148
45000,8.994
45500,2.482
46000,6.402
46500,3.442
47000,1.112
47500,6.908
48000,7.092
48500,2.552
49000,3.562
49500,4.3
50000,2.49
50500,3.814
51000,4.594
51500,5.432
52000,2.79
52500,5.092
53000,2.898
53500,7.652
54000,6.296
54500,2.362
55000,-0.088
55500,8.072
56000,5.642
56500,3.952
57000,3.794
57500,1.198
58000,1.154
58500,9.554
59000,6.37
59500,4.88
60000,3.968
60500,3.908
61000,3.882
61500,6.242
62000,4.758
62500,5.234
63000,5.33
63500,3.056
64000,4.042
64500,5.39
65000,7.988
65500,4.222
66000,6.428
66500,1.28
67000,0.048
67500,5.114
68000,2.96
68500,1.502
69000,5.254
69500,4.134
70000,0.1
70500,11.326
71000,4.698
71500,2.978
72000,2.286
72500,5.31
73000,4.892
73500,4.55
74000,6.03
74500,5.766
75000,4.77
75500,5.276
76000,3.504
76500,2.018
77000,4.938
77500,8.64
78000,3.53
78500,6.328
79000,5.048
79500,3.998
80000,7.716
80500,2.096
81000,5.286
81500,4.73
82000,2.836
82500,6.73
83000,5.966
83500,6.054
84000,10.442
84500,0.256
85000,5.51
85500,2.86
86000,6.072
86500,2.164
87000,6.862
87500,6.322
88000,4.286
88500,5.508
89000,0.672
89500,-0.496
90000,2.526
90500,2.644
91000,-0.076
91500,-1.044
92000,-0.656
92500,2.5
93000,-0.14
93500,2.18
94000,2.204
94500,3.116
95000,-0.508
95500,0.0
96000,0.288
96500,-0.14
97000,0.584
97500,0.506
98000,2.74
98500,-0.132
99000,1.444
99500,4.152
100000,-1.228
100500,1.456
101000,2.704
101500,2.24
102000,0.368
102500,0.968
103000,0.976
103500,0.332
104000,2.184
104500,2.72
105000,-0.064
105500,0.364
106000,0.424
106500,4.744
107000,0.632
107500,-0.364
108000,1.468
108500,1.536
109000,1.04
109500,2.056
110000,0.02
110500,0.656
111000,1.096
111500,1.568
112000,0.66
112500,0.14
113000,0.684
113500,0.14
114000,-0.02
114500,0.88
115000,-0.848
115500,0.18
116000,-0.42
116500,0.06
117000,0.82
117500,0.392
118000,0.268
118500,1.104
119000,-0.44
119500,0.58
120000,-0.156
120500,0.512
121000,2.044
121500,1.016
122000,1.264
122500,0.132
123000,0.212
123500,-0.796
124000,0.172
124500,0.088
125000,-2.208
125500,-1.636
126000,0.452
126500,-0.724
127000,1.492
127500,0.82
128000,1.664
128500,0.868
129000,-1.288
129500,-0.392
