episode,reward
0,0.02
500,0.276
1000,0.322
1500,0.348
2000,0.132
2500,0.432
3000,-0.162
3500,-0.16
4000,0.518
4500,-0.3
5000,-0.766
5500,-0.152
6000,0.1
6500,0.298
7000,-0.144
7500,-0.116
8000,-0.086
8500,-0.05
9000,-0.186
9500,0.21
10000,-0.324
10500,-0.128
11000,0.424
11500,0.326
12000,0.168
12500,-0.448
13000,0.228
13500,-0.232
14000,-0.266
14500,-0.526
15000,-0.128
15500,0.038
16000,-0.29
16500,-0.098
17000,-0.248
17500,-0.2
18000,-0.012
18500,-0.456
19000,-0.13
19500,-0.262
20000,-0.122
20500,-0.014
21000,-0.176
21500,0.49
22000,0.02
22500,0.196
23000,0.316
23500,0.474
24000,0.188
24500,-0.114
25000,-0.244
25500,0.46
26000,-0.302
26500,-0.164
27000,-0.252
27500,-0.252
28000,-0.246
28500,0.362
29000,0.18
29500,-0.06
30000,0.112
30500,-0.138
31000,0.5
31500,0.32
32000,0.004
32500,-0.074
33000,0.402
33500,-0.124
34000,-0.11
34500,0.6
35000,-0.11
35500,0.012
36000,0.086
36500,-0.006
37000,-0.244
37500,-0.114
38000,-0.13
38500,0.096
39000,0.108
39500,-0.256
40000,-0.196
40500,-0.138
41000,0.378
41500,0.16
42000,-0.07
42500,-0.39
43000,-0.75
43500,0.592
44000,0.316
44500,-0.088
45000,-0.646
45500,0.1
46000,-0.178
46500,-0.508
47000,0.25
47500,-0.222
48000,-0.212
48500,0.096
49000,-0.088
49500,-0.268
50000,-0.174
50500,0.494
51000,0.064
51500,0.14
52000,0.144
52500,-0.35
53000,0.174
53500,0.018
54000,0.63
54500,0.43
55000,-0.022
55500,0.428
56000,-0.036
56500,0.406
57000,0.36
57500,-0.07
58000,0.066
58500,0.41
59000,0.158
59500,0.068
60000,0.11
60500,0.11
61000,0.6
61500,-0.538
62000,-0.106
62500,-0.556
63000,-0.142
63500,-0.076
64000,0.228
64500,-0.312
65000,0.428
65500,0.506
66000,0.22
66500,0.712
67000,-0.172
67500,0.2
68000,0.444
68500,0.24
69000,-0.22
69500,-0.046
70000,0.084
70500,-0.368
71000,-0.022
71500,-0.008
72000,-0.116
72500,0.178
73000,0.17
73500,0.37
74000,-0.378
74500,0.24
75000,-0.284
75500,0.162
76000,0.304
76500,0.496
77000,0.312
77500,-0.04
78000,0.282
78500,0.17
79000,0.128
79500,-0.21
80000,0.302
80500,0.204
81000,-0.036
81500,-0.084
82000,0.152
82500,-0.408
83000,-0.416
83500,-0.402
84000,-0.174
84500,-0.088
85000,-0.376
85500,0.388
86000,0.154
86500,0.214
87000,0.306
87500,-0.026
88000,0.006
88500,-0.07
89000,0.038
89500,-0.176
90000,0.33
90500,0.152
91000,0.178
91500,-0.252
92000,-0.232
92500,-0.004
93000,0.304
93500,-0.372
94000,-0.262
94500,0.484
95000,0.396
95500,0.252
96000,0.008
96500,0.09
97000,0.032
97500,0.128
98000,0.036
98500,0.004
99000,0.332
99500,0.394
